time,theta_x,theta_y,theta_z,omega_x,omega_y,omega_z
0.551929000,-0.40370,-0.13300,0.09211,-0.09813,-0.86207,0.79441
0.554576000,-0.40396,-0.13528,0.09421,-0.09813,-0.86207,0.79441
0.557321000,-0.40422,-0.13763,0.09925,-0.09813,-0.86207,1.85316
0.559975000,-0.41494,-0.13766,0.10422,-4.00063,-0.01332,1.85316
0.562626000,-0.42553,-0.13770,0.10912,-4.00063,-0.01332,1.85316
0.565277000,-0.43614,-0.13773,0.11404,-4.00063,-0.01332,1.85316
0.567933000,-0.44675,-0.13777,0.11942,-4.00063,-0.01332,2.02816
0.570583000,-0.45542,-0.13862,0.12479,-3.27438,-0.31957,2.02816
0.573237000,-0.46411,-0.13946,0.13017,-3.27438,-0.31957,2.02816
0.575915000,-0.47278,-0.14031,0.13554,-3.27438,-0.31957,2.02816
0.578566000,-0.48156,-0.14117,0.13713,-3.27438,-0.31957,0.59316
0.581216000,-0.48667,-0.14185,0.13871,-1.92688,-0.25832,0.59316
0.583864000,-0.49176,-0.14253,0.14027,-1.92688,-0.25832,0.59316
0.586519000,-0.49688,-0.14322,0.14185,-1.92688,-0.25832,0.59316
0.589168000,-0.50198,-0.14390,0.13823,-1.92688,-0.25832,-1.36684
0.591821000,-0.50215,-0.14361,0.13460,-0.06313,0.10918,-1.36684
0.594476000,-0.50232,-0.14332,0.13098,-0.06313,0.10918,-1.36684
0.597144000,-0.50248,-0.14303,0.12733,-0.06313,0.10918,-1.36684
0.599796000,-0.50265,-0.14267,0.12515,-0.06313,0.13543,-0.82434
0.602446000,-0.50437,-0.14232,0.12296,-0.64938,0.13543,-0.82434
0.605097000,-0.50609,-0.14196,0.12078,-0.64938,0.13543,-0.82434
0.607765000,-0.50782,-0.14160,0.11858,-0.64938,0.13543,-0.82434
0.610417000,-0.50955,-0.14156,0.11864,-0.64938,0.01293,0.02441
0.613068000,-0.51011,-0.14153,0.11871,-0.21188,0.01293,0.02441
0.615720000,-0.51067,-0.14149,0.11877,-0.21188,0.01293,0.02441
0.618370000,-0.51123,-0.14146,0.11884,-0.21188,0.01293,0.02441
0.621021000,-0.51179,-0.14312,0.11818,-0.21188,-0.62582,-0.24684
0.623668000,-0.50786,-0.14477,0.11753,1.48562,-0.62582,-0.24684
0.626327000,-0.50391,-0.14644,0.11688,1.48562,-0.62582,-0.24684
0.628983000,-0.49997,-0.14810,0.11622,1.48562,-0.62582,-0.24684
0.631632000,-0.50197,-0.14704,0.11758,-0.75438,0.39793,0.51441
0.634282000,-0.50698,-0.14599,0.11895,-1.89188,0.39793,0.51441
0.636903000,-0.51193,-0.14495,0.12029,-1.89188,0.39793,0.51441
0.639458000,-0.51677,-0.14393,0.12161,-1.89188,0.39793,0.51441
0.642010000,-0.52159,-0.14220,0.11991,-1.89188,0.67793,-0.66684
0.644587000,-0.52840,-0.14046,0.11819,-2.64438,0.67793,-0.66684
0.647224000,-0.53531,-0.13868,0.11645,-2.64438,0.67793,-0.66684
0.649879000,-0.54239,-0.13687,0.11466,-2.64438,0.67793,-0.66684
0.652531000,-0.54346,-0.13790,0.11310,-0.40438,-0.38957,-0.58809
0.655181000,-0.54268,-0.13894,0.11154,0.29562,-0.38957,-0.58809
